[[ 3.14159265e+00  0.00000000e+00]
 [-2.71148312e+00  2.75087544e+00]
 [-2.18921368e+00  2.41666814e+00]
 [-1.77867859e+00  1.86569293e+00]
 [-1.46066116e+00  1.48740673e+00]
 [-1.17175922e+00  1.44714681e+00]
 [-9.37141644e-01  1.11868429e+00]
 [-7.58373819e-01  8.57919946e-01]
 [-6.12309204e-01  7.23978596e-01]
 [-4.94550395e-01  5.76737507e-01]
 [-3.98868254e-01  4.73801131e-01]
 [-3.21983598e-01  3.78413306e-01]
 [-2.58187314e-01  3.18982667e-01]
 [-2.00055735e-01  2.98852292e-01]
 [-1.53490207e-01  2.26308185e-01]
 [-1.14680291e-01  1.95659649e-01]
 [-8.17138584e-02  1.65199002e-01]
 [-5.64119058e-02  1.22223089e-01]
 [-4.01475576e-02  7.36782749e-02]
 [-2.98604579e-02  4.77107614e-02]
 [-2.20891130e-02  3.84708704e-02]
 [-1.59663184e-02  3.00412720e-02]
 [-1.11696553e-02  2.35644901e-02]
 [-7.40858307e-03  1.84742526e-02]
 [-4.45971759e-03  1.44851968e-02]
 [-2.14758020e-03  1.13575306e-02]
 [-3.34695324e-04  8.90511499e-03]
 [ 1.08678089e-03  6.98255393e-03]
 [ 2.20133890e-03  5.47485726e-03]
 [ 3.07522701e-03  4.29263351e-03]
 [ 3.76048449e-03  3.36620063e-03]]

